Wood ID,length( cm),circumference (cm),width(mm),wet weight (g) ,dry weight(g),dry_weight_may24
R1,94,12.5,35.5,898,466.8,465
R2,86,16.5,49.97,1190,609.2,607.2
R3,57,12,34.06,446,217.2,216.8
R4,61,16,51.13,1018,572.6,568.4
R5,76,9.5,25.36,396,231.2,231.2
R6,64,12,35.49,348,265.6,265.2
R7,76,7,20.87,250,131.2,131.2
R8,115,11,30.58,844,417.2,415
R9,48,19,50.03,844,451.8,447.6
R10,71,14,38.93,500,370,369.6
R11,73,11,32.65,476,266,265.2
R12,68,9,24.22,326,274.6,273.2
R13,80,12,36.48,708,432.8,429.2
R14,90,11.5,33.51,738,403.4,399.8
R15,76,9,29.7,362,196,195.6
R16,59,11,33.83,434,239.2,238.6
R17,51,9,27.29,260,143.2,143.2
R18,80,9,29.11,498,268.8,267.4
R19,92,8.5,26.86,490,269.8,268.8
R20,103,13,39.07,1036,602.4,596
R21,71,10,29.43,442,237.4,233.8
R22,75,11,34.59,558,309.8,306.8
R23,95,8.5,25.38,490,377.8,375.8
R24,69,15,48.25,964,544.6,541.6
R25,78,10,31.35,558,264.6,263
R26,63,14.5,44.39,814,421.6,420.2
R27,72,12,35.82,642,354.4,350.4
R28,93,12,33.22,678,389.4,387.2
R29,57,10,32.29,344,185.4,184.8
R30,73,11.5,36.58,466,347.4,346.6
R31,48,7.5,23.19,120,92,92
R32,103,10.5,32.76,748,376.8,376
R33,41,9,25.97,224,137.8,137.8
R34,31,13,40.01,296,151.2,151
R35,93,9.5,28.14,496,265,261
R36,42,10.5,35.12,190,146.2,146
R37,72,11,35.25,506,280.4,279.8
R38,52,10,30.76,216,152,151.8
R39,77,13.5,41.55,630,464.8,462.4
R40,55,14,44.7,664,332.8,331.8
R41,83,12,36.2,734,357.6,357
R42,82,13,41.09,872,494,491.6
R43,54,10,28.46,304,149.4,149.2
R44,71,10.5,30.97,362,267.8,267.6
R45,44,11.5,36.62,416,325,324.8
R46,104,9.5,25.8,526,267,266.4
R47,41,10,28.69,168,104.6,104.4
R48,51,9.5,31.52,428,255.4,254
R49,88,8.5,25.6,474,234.2,234
R50,84,10.5,29.19,584,292.8,292.4
R51,75,7.5,23.22,302,140.8,140.4
R52,66,14,45.47,626,382,381
R53,29,11,35.36,230,181.4,181.4
R54,26,13.5,42.24,252,189,189
R55,33,12,32.2,256,171.4,171.4
R56,74,10,28.98,338,250,246.6
R57,59,11,32.7,484,280.2,279.2
R58,71,7.5,22.52,248,130.2,130
R59,86,14,41.27,984,506.8,502.8
R60,51,9,29.13,244,208.8,208.6
R61,74,17,51.27,1276,716,710.4
R62,68,14.5,43.27,696,516,513.6
R63,37,13,41.39,426,318,317.4
R64,80,10.5,34.25,590,333.4,332
R65,90,17,51.67,1694,887.2,880.2
R66,58,8.5,25.02,274,223.6,223.4
R67,51,16,46.1,726,376.2,375
R68,67,9,31.13,384,209.8,209.2
R69,63,7,23.05,188,141,141
R70,93,13,41.03,1026,521.4,519.4
R71,108,9.2,27.63,562,277.8,277.4
R72,43.5,9.3,25.8,222,171.6,171
R73,86.6,11.7,33.91,620,334,328
R74,94,10.5,34.72,714,381,377.8
R75,69.8,18,55.13,1206,700.8,693.4
R76,73.8,14.5,41.1,766,440.8,438.4
R77,42.3,13.2,40.55,460,343,342.6
R78,46,10.9,31.14,350,248.6,484.4
R79,13.9,62.8,42.8,798,651.6,648.2
R80,94.5,13,37.31,892,492.6,486.4
R82,63,7.6,20.88,136,109.4,108.8
R83,94,8.6,23.42,380,178,177.4
R84,91.5,14.4,41.09,1194,594.2,590.4
R85,78.2,13,37.02,688,351,349
R86,53.8,8.7,23.43,230,187.4,187
R87,87.3,10,29.9,680,499.8,495
R88,97,15,41.75,1078,570.6,566.6
R89,101,10.5,28.68,364,291.4,290.4
R90,77.5,14,39.98,834,436,433.6
R91,43.3,13.5,38.58,334,197,196
R92,55.2,10.7,31.35,384,317.6,316.8
R93,67.3,12.5,34.99,620,311.8,310.6
R94,81.5,14.5,39.91,968,521.2,517.2
R95,99.3,11.3,33.84,498,371.6,369.6
R96,64.5,9.7,28.4,240,178.6,177.8
R97,106.5,12.6,37.99,1026,528.4,525.8
R98,49.7,9,25.75,220,175,174.6
R99,69.5,10.8,31.94,436,238.2,237
R100,70,12,34.24,570,283.6,282.4
R101,40.5,10.2,30.97,230,185,185
R102,86,8.1,22.05,324,157.2,157
R103,115.7,10.3,28.41,650,316.2,315.4
R104,42.5,10.8,31.11,218,116.6,116.4
R105,81.5,12.4,39.03,788,471.6,469.8
R106,75.8,14.4,42.33,816,523,520.6
R107,72.5,12.5,34.91,592,347.6,346.2
R108,60,10,29.59,214,163.2,162.2
R109,47.5,10,28.1,176,132.4,132
R110,26.5,11.5,36.44,186,125,124.6
R111,37.8,9,26.35,166,128.4,128.2
R112,37.5,14.9,38.88,290,181.2,179.8
R113,102,20.4,63.91,2682,1368,1355.4
R114,84.3,18.5,55.4,1810,974.6,963.2
